time,logger,level,database,message,exception
2013-05-22 20:58:14.1133,Raven.Database.Server.HttpServer,Debug,,Request #  16: GET     -     0 ms - Paramore_Integration_Tests - 200 - /docs/SpeakerDocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade,
2013-05-22 20:58:14.1333,Raven.Database.DocumentDatabase,Debug,Paramore_Integration_Tests,Delete a document with key: SpeakerDocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade and etag ,
2013-05-22 20:58:14.1333,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore_Integration_Tests,Document with key 'SpeakerDocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade' was deleted,
2013-05-22 20:58:14.1333,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,Incremented work counter to 10 because: DEL SpeakerDocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade,
2013-05-22 20:58:14.1333,Raven.Database.DocumentDatabase,Debug,Paramore_Integration_Tests,Successfully executed 1 commands in 00:00:00.0030828,
2013-05-22 20:58:14.1333,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,"No work was found, workerWorkCounter: 10, for: ReducingExecuter, will wait for additional work",
2013-05-22 20:58:14.1333,Raven.Database.Server.HttpServer,Debug,,Request #  17: POST    -     3 ms - Paramore_Integration_Tests - 200 - /bulk_docs,
2013-05-22 20:58:14.1493,Raven.Database.Server.HttpServer,Debug,,"	DELETE SpeakerDocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade
",
2013-05-22 20:58:14.1493,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore_Integration_Tests,"Inserted a new document with key 'VenueDocuments/59ef9f62-160f-492c-9b58-2af5e58cf76a', update: False, ",
2013-05-22 20:58:14.1493,Raven.Database.DocumentDatabase,Debug,Paramore_Integration_Tests,Put document VenueDocuments/59ef9f62-160f-492c-9b58-2af5e58cf76a with etag 00000001-0000-0100-0000-000000000004,
2013-05-22 20:58:14.1493,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,Incremented work counter to 11 because: PUT VenueDocuments/59ef9f62-160f-492c-9b58-2af5e58cf76a,
2013-05-22 20:58:14.1493,Raven.Database.DocumentDatabase,Debug,Paramore_Integration_Tests,Successfully executed 1 commands in 00:00:00.0022787,
